ori_w16.pwk - done









19922		"Altar: Empty"                                   	****  	phod_altar_x        	****      	****        	****        	****        	26          	1         	0      	****     	****            	1     	
8875		"Light: Brazier 5"                               	****  	zlc_fky_c94         	****      	****        	****        	****        	21          	1         	0      	****     	****            	1     	
8919		"Light: Brazier, Pillar 5"                       	****  	zlc_fky_d39         	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	
2951		"Light: Lantern, Floor Large"                    	****  	ori_f11             	****      	****        	****        	****        	****        	1         	0      	****     	****            	1     	
2950		"Light: Lantern, Floor Small"                    	****  	ori_f10             	****      	****        	****        	****        	****        	1         	0      	****     	****            	1     	
2700		"Light: Lantern, Stone w/Light 1"                	****  	zlc_r83             	****      	****        	****        	****        	19          	1         	0      	****     	****            	1     	
2701		"Light: Lantern, Stone w/Light 2"                	****  	zlc_r84             	****      	****        	****        	****        	19          	1         	0      	****     	****            	1     	
2702		"Light: Lantern, Stone w/Light 3"                	****  	zlc_r85             	****      	****        	****        	****        	19          	1         	0      	****     	****            	1     	
2703		"Light: Lantern, Stone w/Light 4"                	****  	zlc_r86             	****      	****        	****        	****        	19          	1         	0      	****     	****            	1     	

2936		"Statue: Skull 1"                                	****  	zlc_w24             	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	

5401		"Torture: Stockade 1"                            	****  	nw2stockade1        	****      	****        	****        	****        	34          	1         	0      	****     	****            	1     	
5402		"Torture: Stockade 2"                            	****  	nw2stockade2        	****      	****        	****        	****        	34          	1         	0      	****     	****            	1     	

2586		"Religious: Shrine 1"                            	****  	zlc_x25             	****      	****        	****        	****        	26          	1         	0      	****     	****            	1     	
19902		"Religious: Cthulhu Idol"                        	****  	phod_cthulhu        	****      	****        	****        	****        	26          	1         	0      	****     	****            	1     	
19926		"Artifact: Arcane Fount"                         	****  	phod_arcfount       	****      	****        	****        	****        	26          	1         	0      	****     	****            	1     	
15597		"Obelisk: DNC"                                   	****  	DNC_Obl             	****      	****        	****        	****        	****        	****      	****   	****     	****            	1     	
